symbol,name,address,sector,industry,full_time_employees,description,total_esg_risk_score,environment_risk_score,governance_risk_score,social_risk_score,controversy_level,controversy_score,esg_risk_percentile,esg_risk_level,avg_esg_score,esg_score_variance,company_size,high_controversy
XEL,"Xcel Energy, Inc.","414 Nicollet Mall
Minneapolis, MN 55401
United States",Utilities,Utilities - Regulated Electric,11311.0,"Xcel Energy Inc., through its subsidiaries, engages in the generation, purchasing, transmission, distribution, and sale of electricity. It operates through Regulated Electric Utility, Regulated Natural Gas Utility, and All Other segments. The company generates electricity through wind, nuclear, hydroelectric, biomass, and solar energy sources, as well as coal, natural gas, oil, wood, and refuse-derived fuels. It also purchases, transports, distributes, and sells natural gas to retail customers, as well as transports customer-owned natural gas. In addition, the company develops and leases natural gas pipelines, and storage and compression facilities; and invests in rental housing projects and nonregulated assets, as well as procures equipment for the construction of renewable generation facilities. It serves residential, commercial, and industrial customers in the portions of Colorado, Michigan, Minnesota, New Mexico, North Dakota, South Dakota, Texas, and Wisconsin. The company was incorporated in 1909 and is headquartered in Minneapolis, Minnesota.",26.5,12.7,4.5,9.3,Moderate Controversy Level,2.0,,Medium,8.833333333333334,16.97333333333333,Enterprise,0
WYNN,Wynn Resorts Ltd,"3131 Las Vegas Boulevard South
Las Vegas, NV 89109
United States",Consumer Cyclical,Resorts & Casinos,27800.0,"Wynn Resorts, Limited designs, develops, and operates integrated resorts. The company operates through four segments: Wynn Palace, Wynn Macau, Las Vegas Operations, and Encore Boston Harbor. The Wynn Palace segment operates private gaming salons and sky casinos; a luxury hotel tower with suites, and villas, including a health club, spa, salon, and pool; food and beverage outlets; retail space; meeting and convention space; and performance lake and floral art displays. The Wynn Macau segment operates casino space with private gaming salons, sky casinos, and a poker room; a luxury hotel tower, that include health clubs, spas, a salon, and a pool; food and beverage outlets; retail space; meeting and convention space; and Chinese zodiac-inspired ceiling attractions. The Las Vegas Operations segment operates casino space with private gaming salons, a sky casino, a poker room, and a race and sports book; a luxury hotel tower with suites, and villas, including swimming pools, private cabanas, full-service spas and salons, and a wedding chapel; food and beverage outlets; meeting and convention space; retail space; and theaters, nightclubs, a beach club. The Encore Boston Harbor segment operates casino space with gaming areas, and a poker room; a luxury hotel tower including a spa and salon; food and beverage outlets and a nightclub; retail space; meeting and convention space; and a waterfront park, floral displays, and water shuttle service. Wynn Resorts, Limited was incorporated in 2002 and is based in Las Vegas, Nevada.",25.7,3.4,10.6,11.8,Moderate Controversy Level,2.0,,Medium,8.6,20.64,Enterprise,0
WTW,Willis Towers Watson Public Limited Companys,"51 Lime Street
London, EC3M 7DQ
United Kingdom",Financial Services,Insurance Brokers,48000.0,"Willis Towers Watson Public Limited Company operates as an advisory, broking, and solutions company worldwide. It operates through two segments: Health, Wealth & Career and Risk & Broking. The company offers strategy and design consulting, plan management service and support, broking and administration services for health, wellbeing, and other group benefit program, including medical, dental, disability, life, voluntary benefits and other coverages; actuarial support, plan design, and administrative services for pension and retirement savings plans; retirement consulting services and solutions; and integrated solutions that consists of investment discretionary management, pension administration, core actuarial, and communication and change management assistance services. It also provides advice, data, software, and products to address clients' total rewards and talent issues; and risk advice, insurance brokerage, and consulting services in the areas of property and casualty, affinity, risk and analytics, aerospace, construction, global markets direct & facultative, financial, executive and professional risks, financial solutions, crisis management, surety, marine, and natural resources. In addition, the company offers integrated solutions that consists of investment discretionary management, pension administration, core actuarial, and communication and change management assistance services; and software and technology, risk and capital management, products and product pricing, financial and regulatory reporting, financial and capital modeling, M&A, outsourcing, and business management services. The company was formerly known as Willis Group Holdings Public Limited Company and changed its name to Willis Towers Watson Public Limited Company in January 2016. Willis Towers Watson Public Limited Company was founded in 1828 and is based in London, the United Kingdom.",18.7,0.1,10.8,7.8,Moderate Controversy Level,2.0,,Low,6.233333333333333,30.46333333333334,Enterprise,0
WMB,Williams Companies Inc.,"One Williams Center
Tulsa, OK 74172
United States",Energy,Oil & Gas Midstream,5601.0,"The Williams Companies, Inc., together with its subsidiaries, operates as an energy infrastructure company primarily in the United States. It operates through Transmission & Gulf of Mexico, Northeast G&P, West, and Gas & NGL Marketing Services segments. The Transmission & Gulf of Mexico segment comprises natural gas pipelines; Transco, Northwest pipeline, MountainWest, and related natural gas storage facilities; and natural gas gathering and processing, and crude oil production handling and transportation assets in the Gulf Coast region. The Northeast G&P segment engages in the midstream gathering, processing, and fractionation activities in the Marcellus Shale region primarily in Pennsylvania and New York, and the Utica Shale region of eastern Ohio. The West segment consists of gas gathering, processing, and treating operations in the Rocky Mountain region of Colorado and Wyoming, the Barnett Shale region of north-central Texas, the Eagle Ford Shale region of South Texas, the Haynesville Shale region of northwest Louisiana, the Mid-Continent region that includes the Anadarko and Permian basins, and the DJ Basin of Colorado; and operates natural gas liquid (NGL) fractionation and storage facilities in central Kansas near Conway. The Gas & NGL Marketing Services segment provides wholesale marketing, trading, storage, and transportation of natural gas for natural gas utilities, municipalities, power generators, and producers; asset management services; and transports and markets NGLs. The company owns and operates 33,000 miles of pipelines. The Williams Companies, Inc. was founded in 1908 and is headquartered in Tulsa, Oklahoma.",21.8,8.7,3.0,10.1,Moderate Controversy Level,2.0,,Medium,7.266666666666666,14.14333333333333,Large,0
WY,Weyerhaeuser Company,"220 Occidental Avenue South
Seattle, WA 98104-7800
United States",Real Estate,Reit - Specialty,9300.0,"Weyerhaeuser Company, one of the world's largest private owners of timberlands, began operations in 1900. We own or control approximately 11 million acres of timberlands in the U.S. and manage additional timberlands under long-term licenses in Canada. We manage these timberlands on a sustainable basis in compliance with internationally recognized forestry standards. We are also one of the largest manufacturers of wood products in North America. Our company is a real estate investment trust. In 2022, we generated $10.2 billion in net sales and employed approximately 9,200 people who serve customers worldwide. Our common stock trades on the New York Stock Exchange under the symbol WY.",16.7,9.1,3.5,4.2,Moderate Controversy Level,2.0,,Low,5.6000000000000005,9.309999999999999,Large,0
WRK,Westrock Company,"1000 Abernathy Road NE
Atlanta, GA 30328
United States",Consumer Cyclical,Packaging & Containers,56100.0,"WestRock Company, together with its subsidiaries, provides fiber-based paper and packaging solutions in North America, South America, Europe, Asia, and Australia. It operates through four segments: Corrugated Packaging, Consumer Packaging, Global Paper, and Distribution. The Corrugated Packaging segment produces containerboards, corrugated sheets, corrugated packaging, and preprinted linerboards to consumer and industrial products manufacturers, and corrugated box manufacturers. It also provides structural and graphic design, engineering services and custom, and proprietary and standard automated packaging machines; turn-key installation, automation, line integration, and packaging solutions; machinery solution that creates pouches; and pack temporary displays, as well as lithographic laminated packaging products. The Consumer Packaging segment manufactures and sells folding cartons that are used to package food, paper, beverages, dairy products, confectionery, health and beauty, and other household consumer products, as well as express mail packages for the overnight courier industry. It also offers inserts and labels, as well as rigid packaging and other printed packaging products, such as transaction cards, brochures, product literature, marketing materials, and grower tags, and plant stakes; and paperboard packaging for over-the-counter and prescription drugs. In addition, this segment manufactures and sells solid fiber and corrugated partitions, and die-cut paperboard components. The Global Paper segment manufactures containerboard, paperboard, and specialty grades primarily to corrugated packaging, folding carton, food service, liquid packaging, tobacco, and commercial print markets. The Distribution segment distributes corrugated packaging materials and other specialty packaging products, including stretch films, void fills, carton sealing tapes, and other specialty tapes; and provides contract packing services. The company is based in Atlanta, Georgia.",21.05,4.05,6.1,8.9,Unknown,2.0,,Unknown,6.349999999999999,5.927500000000002,Enterprise,0
WDC,Western Digital Corp.,"5601 Great Oaks Parkway
Great Oaks
San Jose, CA 95119
United States",Technology,Computer Hardware,53000.0,"Western Digital Corporation develops, manufactures, and sells data storage devices and solutions in the United States, China, Hong Kong, Europe, the Middle East, Africa, rest of Asia, and internationally. It offers client devices, including hard disk drives (HDDs) and solid state drives (SSDs) for desktop and notebook personal computers (PCs), gaming consoles, and set top boxes; and flash-based embedded storage products for mobile phones, tablets, notebook PCs, and other portable and wearable devices, as well as automotive, Internet of Things, industrial, and connected home applications. The company also provides enterprise HDDs; enterprise SSDs consisting of flash-based SSDs and software solutions for use in enterprise servers, online transactions, data analysis, and other enterprise applications; and data storage platforms. In addition, it offers external HDD storage products in mobile and desktop form; client portable SSDs; removable cards that are used in consumer devices comprising mobile phones, tablets, imaging systems, and cameras and smart video systems; universal serial bus flash drives for use in the computing and consumer markets; and wireless drive products used in-field backup of created content, as well as wireless streaming of high-definition movies, photos, music, and documents to tablets, smartphones, and PCs. The company sells its products under the Western Digital, SanDisk, and WD brands to original equipment manufacturers, distributors, dealers, resellers, and retailers. Western Digital Corporation was founded in 1970 and is headquartered in San Jose, California.",11.4,1.5,6.1,3.9,Moderate Controversy Level,2.0,,Low,3.8333333333333335,5.293333333333333,Enterprise,0
WST,"West Pharmaceutical Services, Inc.","530 Herman O. West Drive
Exton, PA 19341-1147
United States",Healthcare,Medical Instruments & Supplies,10600.0,"West Pharmaceutical Services, Inc. designs, manufactures, and sells containment and delivery systems for injectable drugs and healthcare products in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. It operates in two segments, Proprietary Products and Contract-Manufactured Products. The Proprietary Products segment offers stoppers and seals for injectable packaging systems; syringe and cartridge components, including custom solutions for the needs of injectable drug applications, as well as administration systems that enhance the safe delivery of drugs through advanced reconstitution, mixing, and transfer technologies; and films, coatings, washing, and vision inspection and sterilization processes and services to enhance the quality of packaging components. This segment also provides drug containment solutions, including Crystal Zenith, a cyclic olefin polymer in the form of vials, syringes, and cartridges; and self-injection devices; and a range of integrated solutions, including analytical lab services, pre-approval primary packaging support and engineering development, regulatory expertise, and after-sales technical support. This segment serves biologic, generic, and pharmaceutical drug companies. The Contract-Manufactured Products segment is involved in the design, manufacture, and automated assembly of devices used in surgical, diagnostic, ophthalmic, injectable, and other drug delivery systems, as well as consumer products. The company serves pharmaceutical, diagnostic, and medical device companies. It sells and distributes its products through its sales force and distribution network, contract sales agents, and regional distributors. West Pharmaceutical Services, Inc. was founded in 1923 and is headquartered in Exton, Pennsylvania.",21.05,4.05,6.1,8.9,Unknown,2.0,,Unknown,6.349999999999999,5.927500000000002,Enterprise,0
WAT,Waters Corp,"34 Maple Street
Milford, MA 01757
United States",Healthcare,Diagnostics & Research,7900.0,"Waters Corporation provides analytical workflow solutions in Asia, the Americas, and Europe. It operates through two segments: Waters and TA. The company designs, manufactures, sells, and services high and ultra-performance liquid chromatography, as well as mass spectrometry (MS) technology systems and support products, including chromatography columns, other consumable products, and post-warranty service plans. It also designs, manufactures, sells, and services thermal analysis, rheometry, and calorimetry instruments; and develops and supplies software-based products that interface with its instruments, as well as other manufacturers' instruments. In addition, the company offers MS technology instruments are used in drug discovery and development comprising clinical trial testing, the analysis of proteins in disease processes, nutritional safety analysis, and environmental testing. Further, the company provides thermal analysis, rheometry, and calorimetry instruments for use in predicting the suitability and stability of fine chemicals, pharmaceuticals, water, polymers, metals, and viscous liquids for various industrial, consumer good, and healthcare products, as well as for life science research. Its products are used by clinical, pharmaceutical, biochemical, industrial, nutritional safety, environmental, academic, and governmental customers working in research and development, quality assurance, and other laboratory applications. The company was founded in 1958 and is headquartered in Milford, Massachusetts.",14.6,1.4,5.1,8.2,None Controversy Level,2.0,,Low,4.8999999999999995,11.589999999999996,Large,0
WM,"Waste Management, Inc.","800 Capitol Street
Suite 3000
Houston, TX 77002
United States",Industrials,Waste Management,48000.0,"Waste Management, Inc., through its subsidiaries, engages in the provision of environmental solutions to residential, commercial, industrial, and municipal customers in the United States and Canada. It offers collection services, including picking up and transporting waste and recyclable materials from where it was generated to a transfer station, material recovery facility (MRF), or disposal site; and owns and operates transfer stations, as well as owns, develops, and operates landfill facilities that produce landfill gas used as renewable natural gas for generating electricity. As of December 31, 2022, the company owned or operated 254 solid waste landfills, five secure hazardous waste landfills, 97 MRFs, and 337 transfer stations. It also provides materials processing and commodities recycling services at its MRFs, where cardboard, paper, glass, metals, plastics, construction and demolition materials, and other recycling commodities are recovered for resale or redirected for other purposes; recycling brokerage services, such as managing the marketing of recyclable materials for third parties; and other strategic business solutions. In addition, the company offers construction and remediation services; services related with the disposal of fly ash, and residue generated from the combustion of coal and other fuel stocks; in-plant services comprising full-service waste management solutions and consulting services; and specialized disposal services for oil and gas exploration and production operations. The company was formerly known as USA Waste Services, Inc. and changed its name to Waste Management, Inc. in 1998. Waste Management, Inc. was incorporated in 1987 and is headquartered in Houston, Texas.",16.6,8.1,3.3,5.2,Moderate Controversy Level,2.0,,Low,5.533333333333334,5.843333333333333,Enterprise,0
WBD,"Warner Bros. Discovery, Inc. Series a","230 Park Avenue South
New York, NY 10003
United States",Communication Services,Entertainment,35300.0,"Warner Bros. Discovery, Inc. operates as a media and entertainment company worldwide. It operates through three segments: Studios, Network, and DTC. The Studios segment produces and releases feature films for initial exhibition in theaters; produces and licenses television programs to its networks and third parties and direct-to-consumer services; distributes films and television programs to various third parties and internal television; and offers streaming services and distribution through the home entertainment market, themed experience licensing, and interactive gaming. The Network segment comprises domestic and international television networks. The DTC segment offers premium pay-tv and streaming services. In addition, the company offers portfolio of content, brands, and franchises across television, film, streaming, and gaming under the Warner Bros. Motion Picture Group, Warner Bros. Television Group, DC, HBO, HBO Max, Max, Discovery Channel, discovery+, CNN, HGTV, Food Network, TNT Sports, TBS, TLC, OWN, Warner Bros. Games, Batman, Superman, Wonder Woman, Harry Potter, Looney Tunes, Hanna-Barbera, Game of Thrones, and The Lord of the Rings brands. Further, it provides content through distribution platforms, including linear network, free-to-air, and broadcast television; authenticated GO applications, digital distribution arrangements, content licensing arrangements, and direct-to-consumer subscription products. Warner Bros. Discovery, Inc. was incorporated in 2008 and is headquartered in New York, New York.",21.05,4.05,6.1,8.9,Unknown,2.0,,Unknown,6.349999999999999,5.927500000000002,Enterprise,0
WAB,Wabtec Inc.,"30 Isabella Street
Pittsburgh, PA 15212
United States",Industrials,Railroads,29000.0,"Westinghouse Air Brake Technologies Corporation, together with its subsidiaries, provides technology-based locomotives, equipment, systems, and services for the freight rail and passenger transit industries worldwide. It offers diesel-electric, battery, and liquid natural gas-powered locomotives; engines, electric motors, and propulsion systems; and marine and mining products. The company also offers positive train control equipment; pneumatic braking products; railway electronics; signal design and engineering services; distributed locomotive power, train cruise controls, and train remote controls; industrial/mobile Internet of Things hardware and software, edge-to-cloud, on and off-board analytics and rules, and asset performance management solutions; rail and shipper transportation management, and port visibility and optimization solutions; and network optimization solutions. In addition, it provides freight car trucks, braking equipment, and related components; air compressors and dryers; heat transfer components and systems; track and switch products; new commuter and switcher locomotives; and turbochargers. Further, the company offers freight locomotive overhauls, modernizations, and refurbishment services; locomotive and car maintenance; transit locomotive and car overhaul; unit exchange of locomotive components; and maintenance of way equipment and services. Additionally, it provides railway and freight braking equipment and related components; friction products, such as brake shoes, discs, and pads; heating, ventilation, and air conditioning equipment; access and platform screen doors; pantographs; auxiliary power converter and battery chargers; passenger information systems and closed-circuit television; signaling and railway electric relays; and doors, window assemblies, accessibility lifts, ramps, and electric charging solutions for buses. The company was founded in 1869 and is headquartered in Pittsburgh, Pennsylvania.",23.3,5.4,6.0,12.0,Moderate Controversy Level,2.0,,Medium,7.8,13.319999999999999,Enterprise,0
GWW,"W.W. Grainger, Inc.","100 Grainger Parkway
Lake Forest, IL 60045-5201
United States",Industrials,Industrial Distribution,23200.0,"W.W. Grainger, Inc., together with its subsidiaries, distributes maintenance, repair, and operating products and services primarily in North America, Japan, the United Kingdom, and internationally. The company operates through two segments, High-Touch Solutions N.A. and Endless Assortment. The company provides safety, security, material handling and storage equipment, pumps and plumbing equipment, cleaning and maintenance, and metalworking and hand tools. It also offers technical support and inventory management services. The company serves smaller businesses to large corporations, government entities, and other institutions, as well as commercial, healthcare, and manufacturing industries through sales and service representatives, and electronic and ecommerce channels. W.W. Grainger, Inc. was founded in 1927 and is headquartered in Lake Forest, Illinois.",16.0,4.5,5.9,5.6,Moderate Controversy Level,2.0,,Low,5.333333333333333,0.5433333333333334,Enterprise,0
VMC,Vulcan Materials Company,"1200 Urban Center Drive
Birmingham, AL 35242
United States",Basic Materials,Building Materials,10961.0,"Vulcan Materials Company, together with its subsidiaries, produces and supplies construction aggregates primarily in the United States. It operates through four segments: Aggregates, Asphalt, Concrete, and Calcium. The company provides crushed stones, sand and gravel, sand, and other aggregates; and related products and services that are applied in construction and maintenance of highways, streets, and other public works, as well as in the construction of housing and commercial, industrial, and other nonresidential facilities. It also offers asphalt mix and asphalt construction paving services; ready-mixed concrete; and calcium products for the animal feed, plastics, and water treatment industries. The company was formerly known as Virginia Holdco, Inc. and changed its name to Vulcan Materials Company. Vulcan Materials Company was founded in 1909 and is headquartered in Birmingham, Alabama.",29.3,13.4,9.1,6.8,Moderate Controversy Level,2.0,,Medium,9.766666666666666,11.223333333333336,Enterprise,0
VST,Vistra Corp.,"6555 Sierra Drive
Irving, TX 75039
United States",Utilities,Utilities - Independent Power Producers,4870.0,"Vistra Corp., together with its subsidiaries, operates as an integrated retail electricity and power generation company. The company operates through six segments: Retail, Texas, East, West, Sunset, and Asset Closure. It retails electricity and natural gas to residential, commercial, and industrial customers across states in the United States and the District of Columbia. In addition, the company is involved in the electricity generation, wholesale energy purchases and sales, commodity risk management, fuel production, and fuel logistics management activities. It serves approximately 5 million customers with a generation capacity of approximately 41,000 megawatts with a portfolio of natural gas, nuclear, coal, solar, and battery energy storage facilities. The company was formerly known as Vistra Energy Corp. and changed its name to Vistra Corp. in July 2020. Vistra Corp. was founded in 1882 and is based in Irving, Texas.",21.05,4.05,6.1,8.9,Unknown,2.0,,Unknown,6.349999999999999,5.927500000000002,Large,0
